Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level,Sales_Performance,High_Sales_Flag
Prohaska-Kuhic ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,20.6319,Pharmacy,Institution,Tacrodomide,Antipiretics,10.0,420,4200.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Medias,Bajo,0
Cassin  ,Block-Romaguera Pharmaceutical Limited,Tarnowskie Góry,Poland,50.45,18.8667,Hospital,Private,Finanel,Antimalarial,20.0,206,4120.0,January,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Doyle-Tillman Pharmaceutical Ltd,Dęblin,Poland,51.5667,21.8614,Hospital,Private,Tacrodomide,Antipiretics,2.0,420,840.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Bajas,Bajo,0
Carter-Conn  ,Jast-Cruickshank Pharma Plc,Białystok,Poland,53.1167,23.1667,Pharmacy,Retail,Sevotrana Tiafoxin,Analgesics,50.0,460,23000.0,January,2018,Abigail Thompson,Tracy Banks,Bravo,Altas,Alto,0
Gottlieb-Cruickshank  ,Will and Sons Pharmaceutical Limited,Poznań,Poland,52.4,16.9167,Hospital,Government,Afretosine,Mood Stabilizers,120.0,404,48480.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Altas,Alto,1
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Albudazole Erobloc,Antiseptics,1.0,563,563.0,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Carter-Conn Pharma Plc,Brwinów,Poland,,20.7167,Hospital,Private,Magnemunex,Antiseptics,5.0,689,,January,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Gottlieb-Cruickshank  ,Hill Ltd ,Gliwice,Poland,50.2976,18.6766,Pharmacy,Retail,Rebedase Aplencor,Mood Stabilizers,100.0,180,18000.0,January,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,0
Gottlieb-Cruickshank  ,Senger-Kirlin Pharmacy,Kobyłka,Poland,52.3395,21.1959,Hospital,Government,Aprerase,Antipiretics,,726,2178.0,January,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Prohaska-Kuhic ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Sanctumine,Antimalarial,3.0,149,447.0,January,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Prohaska-Kuhic ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Comzyme,Antibiotics,4.0,114,456.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Bajas,Bajo,0
Cassin  ,Nader-Gaylord Pharmaceutical Limited,Sobótka,Poland,50.8986,16.7444,Hospital,Private,Aggretisol,Antimalarial,6.0,262,1572.0,January,2018,Alan Ray,James Goodwill,Alfa,Medias,Bajo,0
Carter-Conn  ,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private,Diprotaine,Antiseptics,40.0,318,,January,2018,Alan Ray,James Goodwill,Alfa,Altas,Alto,0
