Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level
Prohaska-Kuhic ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,20.6319,Pharmacy,Institution,Tacrodomide,Antipiretics,10.0,420,4200.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Cassin  ,Block-Romaguera Pharmaceutical Limited,Tarnowskie Góry,Poland,50.45,18.8667,Hospital,Private,Finanel,Antimalarial,20.0,206,4120.0,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Smith Inc ,Doyle-Tillman Pharmaceutical Ltd,Dęblin,Poland,51.5667,21.8614,Hospital,Private,Tacrodomide,Antipiretics,2.0,420,840.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Carter-Conn  ,Jast-Cruickshank Pharma Plc,Białystok,Poland,53.1167,23.1667,Pharmacy,Retail,Sevotrana Tiafoxin,Analgesics,50.0,460,23000.0,January,2018,Abigail Thompson,Tracy Banks,Bravo,Medium
Gottlieb-Cruickshank  ,Will and Sons Pharmaceutical Limited,Poznań,Poland,52.4,16.9167,Hospital,Government,Afretosine,Mood Stabilizers,120.0,404,48480.0,January,2018,Stella Given,Alisha Cordwell,Charlie,High
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Albudazole Erobloc,Antiseptics,1.0,563,563.0,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Carter-Conn Pharma Plc,Brwinów,Poland,52.1417,20.7167,Hospital,Private,Magnemunex,Antiseptics,5.0,689,3445.0,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Hill Ltd ,Gliwice,Poland,50.2976,18.6766,Pharmacy,Retail,Rebedase Aplencor,Mood Stabilizers,100.0,180,18000.0,January,2018,Sheila Stones,Britanny Bold,Delta,Medium
Gottlieb-Cruickshank  ,Senger-Kirlin Pharmacy,Kobyłka,Poland,52.3395,21.1959,Hospital,Government,Aprerase,Antipiretics,20.0,726,14520.0,January,2018,Steve Pepple,Tracy Banks,Bravo,Medium
Prohaska-Kuhic ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Sanctumine,Antimalarial,3.0,149,447.0,January,2018,Erica Jones,James Goodwill,Alfa,Low
Prohaska-Kuhic ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Comzyme,Antibiotics,4.0,114,456.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Cassin  ,Nader-Gaylord Pharmaceutical Limited,Sobótka,Poland,50.8986,16.7444,Hospital,Private,Aggretisol,Antimalarial,6.0,262,1572.0,January,2018,Alan Ray,James Goodwill,Alfa,Low
Carter-Conn  ,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private,Diprotaine,Antiseptics,40.0,318,12720.0,January,2018,Alan Ray,James Goodwill,Alfa,Medium
Prohaska-Kuhic ,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail,Afluferon Entrarenone,Antimalarial,5.0,104,520.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Prohaska-Kuhic ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Sumanazole,Analgesics,100.0,529,52900.0,January,2018,Sheila Stones,Britanny Bold,Delta,High
Smith Inc ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Exotropin Empizine,Mood Stabilizers,2.0,785,1570.0,January,2018,Anne Wu,Britanny Bold,Delta,Low
Beier  ,Prohaska-Kuhic Pharmacy,Wisła,Poland,49.6667,18.8667,Pharmacy,Institution,Feruprazole,Mood Stabilizers,5.0,115,575.0,January,2018,Anne Wu,Britanny Bold,Delta,Low
Beier  ,Hermiston LLC ,Strzegom,Poland,51.0,16.3333,Pharmacy,Institution,Travoloride,Antiseptics,30.0,785,23550.0,January,2018,Anne Wu,Britanny Bold,Delta,Medium
Gottlieb-Cruickshank  ,Hermiston LLC ,Strzegom,Poland,51.0,16.3333,Pharmacy,Institution,Cyclovital,Antimalarial,30.0,677,20310.0,January,2018,Anne Wu,Britanny Bold,Delta,Medium
Schuppe Inc ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,22.4941,Pharmacy,Institution,Travosoline Capolac,Antipiretics,3.0,610,1830.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Acelimus,Analgesics,1.0,746,746.0,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Presetron,Mood Stabilizers,30.0,216,6480.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Beier  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Lansopril Acribax,Antipiretics,36.0,492,17712.0,January,2018,Alan Ray,James Goodwill,Alfa,Medium
