Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level
Prohaska-Kuhic ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,,Pharmacy,Institution,Tacrodomide,Antipiretics,10,420,4200,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Cassin  ,Block-Romaguera Pharmaceutical Limited,Tarnowskie Góry,Poland,50.45,18.8667,Hospital,Private,Finanel,Antimalarial,20,206,4120,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Smith Inc ,Doyle-Tillman Pharmaceutical Ltd,Dęblin,Poland,51.5667,21.8614,Hospital,Private,Tacrodomide,Antipiretics,2,420,840,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Carter-Conn  ,Jast-Cruickshank Pharma Plc,Białystok,Poland,53.1167,23.1667,Pharmacy,Retail,Sevotrana Tiafoxin,Analgesics,50,460,23000,January,2018,Abigail Thompson,,Bravo,Medium
Gottlieb-Cruickshank  ,Will and Sons Pharmaceutical Limited,Poznań,Poland,52.4,16.9167,Hospital,Government,Afretosine,Mood Stabilizers,120,404,48480,January,2018,Stella Given,Alisha Cordwell,Charlie,High
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Albudazole Erobloc,Antiseptics,1,563,563,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Carter-Conn Pharma Plc,Brwinów,Poland,52.1417,20.7167,Hospital,Private,Magnemunex,Antiseptics,5,689,3445,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Hill Ltd ,Gliwice,Poland,50.2976,18.6766,Pharmacy,Retail,Rebedase Aplencor,Mood Stabilizers,100,180,18000,January,2018,Sheila Stones,Britanny Bold,Delta,Medium
Gottlieb-Cruickshank  ,Senger-Kirlin Pharmacy,Kobyłka,Poland,52.3395,21.1959,Hospital,Government,Aprerase,Antipiretics,,726,2178,January,2018,Steve Pepple,Tracy Banks,Bravo,Medium
Prohaska-Kuhic ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Sanctumine,Antimalarial,3,149,447,January,2018,Erica Jones,James Goodwill,Alfa,Low
Prohaska-Kuhic ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Comzyme,Antibiotics,4,114,456,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Cassin  ,Nader-Gaylord Pharmaceutical Limited,Sobótka,Poland,50.8986,16.7444,Hospital,Private,Aggretisol,Antimalarial,6,262,1572,January,2018,Alan Ray,James Goodwill,Alfa,Low
Carter-Conn  ,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private,Diprotaine,Antiseptics,40,318,12720,January,2018,Alan Ray,James Goodwill,Alfa,Medium
Prohaska-Kuhic ,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail,Afluferon Entrarenone,Antimalarial,5,104,,January,2018,Mary Gerrard,,Delta,Low
Prohaska-Kuhic ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Sumanazole,Analgesics,100,529,52900,January,2018,Sheila Stones,Britanny Bold,Delta,High
Smith Inc ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Exotropin Empizine,Mood Stabilizers,2,785,1570,January,2018,Anne Wu,Britanny Bold,Delta,Low
Beier  ,Prohaska-Kuhic Pharmacy,Wisła,Poland,49.6667,18.8667,Pharmacy,Institution,Feruprazole,Mood Stabilizers,5,115,575,January,2018,Anne Wu,Britanny Bold,Delta,Low
Beier  ,Hermiston LLC ,Strzegom,Poland,51,16.3333,Pharmacy,Institution,Travoloride,Antiseptics,30,785,23550,January,2018,Anne Wu,Britanny Bold,Delta,Medium
Gottlieb-Cruickshank  ,Hermiston LLC ,Strzegom,Poland,51,16.3333,Pharmacy,Institution,Cyclovital,Antimalarial,30,677,20310,January,2018,Anne Wu,Britanny Bold,Delta,Medium
Schuppe Inc ,Spencer-Jerde Pharmacy,Przeworsk,Poland,,22.4941,Pharmacy,Institution,Travosoline Capolac,Antipiretics,3,610,1830,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Emard-O'Connell Pharmacy,Zakopane,Poland,,19.9519,Pharmacy,Retail,Acelimus,Analgesics,1,746,,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Presetron,Mood Stabilizers,30,216,6480,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Beier  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Lansopril Acribax,Antipiretics,36,492,17712,January,2018,Alan Ray,James Goodwill,Alfa,Medium
Gottlieb-Cruickshank  ,Jast-Cruickshank Pharma Plc,Białystok,Poland,,23.1667,Pharmacy,Retail,Panpion,Antiseptics,1,692,692,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Smith Inc ,Hansen Group Pharm,Gryfów Śląski,Poland,51.0308,15.4202,Hospital,Private,Albudazole Erobloc,Antiseptics,4,563,2252,January,2018,Anne Wu,Britanny Bold,Delta,Low
Prohaska-Kuhic ,Nader-Borer Pharma Plc,Bielawa,Poland,50.6908,16.623,Pharmacy,Retail,Adriacaine,Mood Stabilizers,10,361,3610,January,2018,Abigail Thompson,,Bravo,Low
Gottlieb-Cruickshank  ,Crist Inc ,Stary Sącz,Poland,49.5625,20.6364,Hospital,Private,Angioparin Brimosumab,Mood Stabilizers,2,682,1364,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Smith Inc ,Buckridge-Davis ,Legnica,Poland,51.2101,16.1619,Hospital,Private,Cephovelam,Mood Stabilizers,4,542,2168,January,2018,,Britanny Bold,Delta,Low
Smith Inc ,"Beer, Kohler and Beatty Pharmaceutical Ltd",Rypin,Poland,53.0667,19.45,Pharmacy,Retail,Diprolimus,Antiseptics,20,634,12680,January,2018,Erica Jones,James Goodwill,Alfa,Medium
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Methiclotide,Antibiotics,4,458,1832,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Smith Inc ,Lemke Ltd Pharm,Tarnów,Poland,50.0125,20.9883,Hospital,Private,Rositroban,Mood Stabilizers,40,481,19240,January,2018,Morris Garcia,Tracy Banks,Bravo,Medium
Gottlieb-Cruickshank  ,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government,Rebedase Aplencor,Mood Stabilizers,1,180,180,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Prohaska-Kuhic ,"Beahan, Littel and Ondricka Pharmacy",Łęczyca,Poland,52.0583,19.2,Pharmacy,Institution,Insozyme,Antiseptics,2,655,,January,2018,Alan Ray,James Goodwill,Alfa,Low
Prohaska-Kuhic ,Parisian Ltd Pharm,Jelenia Góra,Poland,50.9,15.7333,Pharmacy,Institution,Diazemid Felcept,Analgesics,2,613,1226,January,2018,Jessica Smith,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,"Bogan, Jacobs and Kris Pharmacy",Lubartów,Poland,51.4667,22.6,Pharmacy,Institution,Microroban Afatigomar,Antimalarial,1,478,478,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Smith Inc ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,17.9253,Pharmacy,Retail,Xenaminphen,Antimalarial,24,195,4680,January,2018,Jessica Smith,Britanny Bold,Delta,Low
Smith Inc ,Veum-Kerluke Pharmacy,Człuchów,Poland,53.65,17.3667,Pharmacy,Retail,Cricane Acamsumab,Antiseptics,20,22,440,January,2018,Abigail Thompson,Tracy Banks,Bravo,Low
Prohaska-Kuhic ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Bexridol,Antipiretics,4,80,320,January,2018,Morris Garcia,,Bravo,Low
Gottlieb-Cruickshank  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,22.6778,Hospital,Government,Lansopril Acribax,Antipiretics,12,492,5904,January,2018,Jessica Smith,Britanny Bold,Delta,Low
Smith Inc ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Symdocet,Antipiretics,200,470,94000,January,2018,Thompson Crawford,James Goodwill,Alfa,High
Gottlieb-Cruickshank  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Aquamycin Lacoran,Analgesics,2,345,690,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,20.6319,Pharmacy,Institution,Ampinonide,Antimalarial,4,248,992,January,2018,Anne Wu,,Delta,Low
Prohaska-Kuhic ,Hermiston and Sons Pharma Plc,Bochnia,Poland,49.9833,,Pharmacy,Institution,Penitrana,Analgesics,54,179,9666,January,2018,Morris Garcia,Tracy Banks,Bravo,Medium
Gottlieb-Cruickshank  ,"Reynolds, Jast and Mante Pharma Plc",Pleszew,Poland,51.8974,17.7856,Pharmacy,Institution,Adtiza Gammaluble,Antibiotics,4,452,1808,January,2018,Thompson Crawford,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Schaefer Group Pharmaceutical Limited,Ustroń,Poland,49.7167,18.8167,Hospital,Government,Acubulin,Antipiretics,24,490,11760,January,2018,,Britanny Bold,Delta,Medium
Prohaska-Kuhic ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Lioletine Refliruvax,Analgesics,10,435,4350,January,2018,Thompson Crawford,James Goodwill,Alfa,Low
Prohaska-Kuhic ,Ritchie-Rodriguez Pharm,Łuków,Poland,,22.3833,Pharmacy,Retail,Lactubucil,Antipiretics,5,585,2925,January,2018,Mary Gerrard,Britanny Bold,Delta,Low
Prohaska-Kuhic ,Feest-Kshlerin Pharmaceutical Ltd,Świdnik,Poland,51.2333,22.7,Pharmacy,Institution,Liomulin,Mood Stabilizers,2,490,980,January,2018,Thompson Crawford,,Alfa,Low
Beier  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Algluconium Dorzofoxin,Antibiotics,20,611,12220,January,2018,Anne Wu,Britanny Bold,Delta,Medium
Smith Inc ,Botsford PLC Pharmacy,Pabianice,Poland,51.6642,19.35,Pharmacy,Institution,Antilamin Clinbital,Antibiotics,10,664,6640,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Rohan   ,Kunze PLC Pharm,Darłowo,Poland,54.4167,16.4167,Hospital,Private,Palodizem,Mood Stabilizers,12,201,2412,January,2018,,James Goodwill,Alfa,Low
Cassin  ,Buckridge-Davis ,Legnica,Poland,51.2101,16.1619,Hospital,Private,Ergomethate,Mood Stabilizers,10,604,,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Prohaska-Kuhic ,Fritsch-Hauck Pharma Plc,Mysłowice,Poland,50.2333,19.1333,Hospital,Government,Alisteride Pemidizem,Antiseptics,5,35,175,January,2018,Erica Jones,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Kreiger Inc Pharma Plc,Mielec,Poland,50.2833,21.4333,Hospital,Private,Relenvice,Antimalarial,2,459,918,January,2018,Morris Garcia,Tracy Banks,Bravo,Low
Gottlieb-Cruickshank  ,Schulist-Zulauf Pharm,Tychy,Poland,50.1667,19,Hospital,Private,Cricane Acamsumab,Antiseptics,10,22,,January,2018,Erica Jones,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,,Hospital,Government,Bexridol,Antipiretics,5,80,400,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Adtiza Gammaluble,Antibiotics,6,452,2712,January,2018,Daniel Gates,,Charlie,Low
Gottlieb-Cruickshank  ,Roob PLC ,Świedbodzin,Poland,,15.5333,Pharmacy,Institution,Acantaine,Antibiotics,3,66,198,January,2018,Sheila Stones,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Insozyme,Antiseptics,50,655,,January,2018,Erica Jones,James Goodwill,Alfa,High
Prohaska-Kuhic ,Stehr-Champlin Pharmaceutical Limited,Nowe Miasto Lubawskie,Poland,53.4167,19.5833,Hospital,Government,Abtasol,Antiseptics,2,754,1508,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Cassin  ,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government,Sevotrana Tiafoxin,Analgesics,10,460,,January,2018,Morris Garcia,Tracy Banks,Bravo,Low
Smith Inc ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,,Pharmacy,Institution,Brimorix Amonine,Antibiotics,2,398,796,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Rohan   ,Rohan Inc ,Chojnów,Poland,51.2667,15.9333,Pharmacy,Institution,Alemtuvatol Megalinum,Analgesics,150,682,102300,January,2018,Sheila Stones,Britanny Bold,Delta,High
Smith Inc ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Lovavatol Azelavarix,Mood Stabilizers,,106,212,January,2018,Abigail Thompson,Tracy Banks,Bravo,Low
Gottlieb-Cruickshank  ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Lactubucil,Antipiretics,1,585,585,January,2018,Stella Given,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Welch-Langworth ,Warsaw,Poland,52.2167,21.0333,Pharmacy,Retail,Menogine,Antiseptics,2,742,1484,January,2018,Thompson Crawford,James Goodwill,Alfa,Low
Beier  ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Robapril,Antipiretics,480,453,,January,2018,Daniel Gates,Alisha Cordwell,Charlie,High
Prohaska-Kuhic ,Denesik-Hintz Pharm,Międzyrzec Podlaski,Poland,51.9833,22.8,Pharmacy,Retail,Neuropogen Empibax,Analgesics,3,605,1815,January,2018,Thompson Crawford,,Alfa,Low
Gottlieb-Cruickshank  ,Bashirian-Kassulke Pharma Plc,Kraków,Poland,50.0614,19.9372,Hospital,Private,Insozyme,Antiseptics,1,655,655,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Cassin  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,,Hospital,Government,Primatate Univatol,Mood Stabilizers,30,172,,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Kreiger Inc Pharma Plc,Mielec,Poland,50.2833,21.4333,Hospital,Private,Afluferon Entrarenone,Antimalarial,10,104,1040,January,2018,Morris Garcia,Tracy Banks,Bravo,Low
Prohaska-Kuhic ,"Erdman, Senger and Oberbrunner Pharm",Rawa Mazowiecka,Poland,51.7667,20.25,Pharmacy,Retail,Thalilamide,Antibiotics,10,615,6150,January,2018,,Alisha Cordwell,Charlie,Low
Smith Inc ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Apronazol,Antibiotics,200,472,94400,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,High
Beier  ,Rohan Inc ,Chojnów,Poland,51.2667,15.9333,Pharmacy,Institution,Diprotaine,Antiseptics,20,318,6360,January,2018,Morris Garcia,Tracy Banks,Bravo,Low
Prohaska-Kuhic ,Mills Inc Pharma Plc,Bydgoszcz,Poland,53.1167,18,Hospital,Private,Magneprex,Antimalarial,6,187,1122,January,2018,Anne Wu,Britanny Bold,Delta,Low
